Segment,Modellreihe,Insgesamt,,,,,,Gasoline,,,,,Diesel,,,,,,"Erdgas 
(CNG)
(einschl. bivalent)","Flüssiggas 
(LPG)
(einschl. bivalent)",Hybrid,,"Elektro
(BEV)",Other
,,Anzahl,"CO2-Emission
in g/km","Leermasse
in kg","CO2-Emission
je 1 000kg","NOx-Emission
in mg/km","Fahrgeräusch
in dB",Anzahl,"CO2-Emission
in g/km","Kraftstoff-
verbrauch
in l/100km","NOx-Emission
in mg/km","Fahrgeräusch
in dB",Anzahl,"CO2-Emission
in g/km","Kraftstoff-
verbrauch
in l/100km","NOx-Emission
in mg/km","Fahrgeräusch
in dB","Partikelmasse
in mg/km",,,Insgesamt,of which: Plug-in,,
,TESLA MODEL S,364,0,2233,0,0,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,364,-
OBERKLASSE ZUSAMMEN,,21913,89.6,2341,38.3,9,67.9,2304,260.2,11.2,15,70.3,94,186.1,7,32.8,68.9,0.5,-,-,9822,3748,9693,-
SUVs,AIWAYS U5,25,0,1843,0,-,67.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-
,ALFA ROMEO JUNIOR,378,71.5,1530,46.7,9.3,65.3,-,-,-,-,-,-,-,-,-,-,-,-,-,248,-,130,-
,ALFA ROMEO STELVIO,2184,197.8,2041,96.9,24.9,68.6,1366,219.2,9.4,23.5,68.3,818,162.1,6.1,27.1,69,0.3,-,-,-,-,-,-
,ALFA ROMEO TONALE,2074,124.4,1735,71.7,13.4,67.4,-,-,-,-,-,442,146.1,5.5,20.3,67.9,0.2,-,-,1632,233,-,-
,AUDI Q2,14235,144.4,1416,102,17,66.9,11567,145.9,6.3,14.1,66.8,2668,138,5.2,29.8,67.3,0.4,-,-,-,-,-,-
,AUDI Q4,12871,0,2189,0,0,67.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12871,-
,AUDI Q6,2960,0,2399,0,0,68.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2960,-
,BMW IX,3768,0,2497,0,0,66.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3768,-
,BMW X1,37154,70.6,1833,38.5,10.8,65.8,3717,150.8,6.5,6.5,66.2,2779,134.1,5.1,32.9,67,0.8,-,-,18018,6200,12640,-
,BMW X2,6167,100.3,1801,55.7,12.8,66.1,1135,175.2,7.6,12,67.1,1001,136.6,5.2,35.6,66.9,0.6,-,-,2245,105,1786,-
,BMW XM,1198,40.6,2759,14.7,3.9,71,-,-,-,-,-,-,-,-,-,-,-,-,-,1198,1198,-,-
,BYD ATTO 3,1082,0,1825,0,0,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1082,-
,BYD SEAL U,473,15.7,2196,7.2,1,68.6,-,-,-,-,-,-,-,-,-,-,-,-,-,108,108,365,-
,BYD SEALION 7,50,0,2510,0,0,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-
,BYD TANG,52,0,2629,0,0,66.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,-
,CADILLAC XT4,59,203.7,1875,108.7,15.7,68.2,46,213,9.2,16.7,68,13,171.3,6.5,12.3,69,1.4,-,-,-,-,-,-
,DACIA DUSTER,21436,132.6,1445,91.7,20.6,68.5,7664,143,6.2,16.1,68.8,3043,134.2,5.1,12,69,0.4,-,1929,8800,-,-,-
